tag,sop,ndec,obs,chance_block,chance_indep,n_blocks
spectral-gru__large__h45__sop10,10,10,0.055944055944055944,0.04613126441602013,0.15470633813416423,429210
spectral-gru__large__h45__sop30,30,29,0.08391608391608392,0.08272592945189858,0.38578265486971,403356
logistic-mean__small__h5__sop10,10,10,0.0979020979020979,0.07174576547610727,0.15470633813416423,429210
logistic-mean__small__h15__sop10,10,10,0.03496503496503497,0.04315603084737075,0.15470633813416423,429210
spectral-meanpool__small__h5__sop10,10,10,0.07692307692307693,0.06935532722909532,0.15470633813416423,429210
spectral-meanpool__small__h45__sop30,30,29,0.04895104895104895,0.046899017245311835,0.38578265486971,403356
spectral-attention__small__h15__sop30,30,29,0.13986013986013987,0.11161604141254872,0.38578265486971,403356
spectral-gru__large__h15__sop30,30,29,0.15384615384615385,0.13490316246690268,0.38578265486971,403356
spectral-gru__small__h45__sop30,30,29,0.11538461538461539,0.07534287329307113,0.38578265486971,403356
logistic-mean__small__h5__sop30,30,29,0.18181818181818182,0.1618991659972828,0.38578265486971,403356
spectral-attention__large__h5__sop10,10,10,0.10139860139860139,0.08372125532955896,0.15470633813416423,429210
spectral-gru__small__h5__sop10,10,10,0.0944055944055944,0.07280585261294005,0.15470633813416423,429210
spectral-meanpool__large__h5__sop10,10,10,0.10839160839160839,0.07822278138906363,0.15470633813416423,429210
spectral-attention__small__h5__sop10,10,10,0.09090909090909091,0.07522424920202232,0.15470633813416423,429210
spectral-meanpool__large__h45__sop30,30,29,0.02097902097902098,0.05238300657483712,0.38578265486971,403356
spectral-attention__small__h45__sop30,30,29,0.07342657342657342,0.06408730749015758,0.38578265486971,403356
logistic-mean__small__h15__sop30,30,29,0.08391608391608392,0.092536121936949,0.38578265486971,403356
spectral-attention__large__h15__sop10,10,10,0.04195804195804196,0.05366370774213089,0.15470633813416423,429210
spectral-meanpool__small__h45__sop10,10,10,0.024475524475524476,0.030160061508352556,0.15470633813416423,429210
spectral-gru__large__h5__sop10,10,10,0.0944055944055944,0.08979986486801332,0.15470633813416423,429210
spectral-attention__small__h45__sop10,10,10,0.038461538461538464,0.03630623704014352,0.15470633813416423,429210
spectral-meanpool__large__h5__sop30,30,29,0.15034965034965034,0.133599103521455,0.38578265486971,403356
spectral-gru__small__h5__sop30,30,29,0.1258741258741259,0.1258887930265076,0.38578265486971,403356
spectral-gru__small__h15__sop30,30,29,0.08041958041958042,0.10205624807862038,0.38578265486971,403356
spectral-gru__large__h5__sop30,30,29,0.20279720279720279,0.16682781463521057,0.38578265486971,403356
spectral-attention__large__h15__sop30,30,29,0.15734265734265734,0.11590753577484901,0.38578265486971,403356
spectral-meanpool__small__h15__sop30,30,29,0.07692307692307693,0.08218298475788137,0.38578265486971,403356
spectral-meanpool__small__h15__sop10,10,10,0.06293706293706294,0.048153584492439595,0.15470633813416423,429210
spectral-attention__large__h5__sop30,30,29,0.21328671328671328,0.2034356746893563,0.38578265486971,403356
spectral-gru__large__h15__sop10,10,10,0.0979020979020979,0.06409915891987605,0.15470633813416423,429210
spectral-attention__small__h15__sop10,10,10,0.05244755244755245,0.05296707905221221,0.15470633813416423,429210
spectral-meanpool__large__h15__sop30,30,29,0.08741258741258741,0.08481589464393736,0.38578265486971,403356
spectral,-1,10,0.03146853146853147,0.04080520025162508,0.15470633813416423,429210
logistic-mean__small__h45__sop30,30,29,0.06293706293706294,0.053069744840785804,0.38578265486971,403356
linear,-1,10,0.024475524475524476,0.02841033526711866,0.15470633813416423,429210
logistic-mean__small__h45__sop10,10,10,0.024475524475524476,0.02841033526711866,0.15470633813416423,429210
spectral-attention__small__h5__sop30,30,29,0.10839160839160839,0.1283580757445036,0.38578265486971,403356
spectral-attention__large__h45__sop10,10,10,0.04195804195804196,0.03828428974161832,0.15470633813416423,429210
spectral-meanpool__large__h15__sop10,10,10,0.024475524475524476,0.04312341278162205,0.15470633813416423,429210
spectral-meanpool__large__h45__sop10,10,10,0.027972027972027972,0.028161040050325017,0.15470633813416423,429210
spectral-meanpool__small__h5__sop30,30,29,0.0944055944055944,0.11662402443499043,0.38578265486971,403356
spectral-attention__large__h45__sop30,30,29,0.09090909090909091,0.07675601701722548,0.38578265486971,403356
spectral-gru__small__h15__sop10,10,10,0.03496503496503497,0.05605880571282123,0.15470633813416423,429210
spectral-gru__small__h45__sop10,10,10,0.02097902097902098,0.04305584678828545,0.15470633813416423,429210
