BTE_LEFT::log_power_delta,BTE_LEFT::log_power_theta,BTE_LEFT::log_power_alpha,BTE_LEFT::log_power_beta,BTE_LEFT::log_power_gamma,BTE_LEFT::log_total_power,BTE_LEFT::hjorth_mobility,BTE_LEFT::hjorth_complexity,BTE_LEFT::log_line_length,BTE_RIGHT::log_power_delta,BTE_RIGHT::log_power_theta,BTE_RIGHT::log_power_alpha,BTE_RIGHT::log_power_beta,BTE_RIGHT::log_power_gamma,BTE_RIGHT::log_total_power,BTE_RIGHT::hjorth_mobility,BTE_RIGHT::hjorth_complexity,BTE_RIGHT::log_line_length,CROSS_HEAD::log_power_delta,CROSS_HEAD::log_power_theta,CROSS_HEAD::log_power_alpha,CROSS_HEAD::log_power_beta,CROSS_HEAD::log_power_gamma,CROSS_HEAD::log_total_power,CROSS_HEAD::hjorth_mobility,CROSS_HEAD::hjorth_complexity,CROSS_HEAD::log_line_length,recording_id,subject,cls,chunk,avail_L,avail_R,avail_X,prob
-0.17123508,0.3043337,-0.48945522,-0.11954117,0.13078976,-0.08238387,0.03874594,-0.23677802,0.08873296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1391323,0.40526032,0.17803574,0.392447,0.6462326,0.604815,-0.039078623,0.31396317,0.12566566,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11595,True,False,True,0.09960674482352731
5.5773306,3.3868048,1.950129,1.4216094,1.6410489,4.982168,-0.2336304,11.062028,0.66138077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020905,0.17054749,0.15550518,1.414048,2.9197814,1.433131,0.055384398,0.13397408,1.0200086,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11596,True,False,True,0.15174085617306385
6.3263283,4.279768,3.629882,2.9008067,2.4509087,5.7472296,-0.2009047,4.6361947,0.8328748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.757924,0.24055529,-0.057757854,1.4954045,2.3782005,3.6161113,-0.18030037,4.805965,0.82499456,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11597,True,False,True,0.12954527878915795
0.16510582,0.051089287,0.20927906,0.26500893,0.50301695,0.20654964,0.049809158,-0.3644371,0.24678135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5722837,0.1075201,-0.560482,0.39806747,1.46914,0.80311084,-0.02569434,0.56026864,0.36455774,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11598,True,False,True,0.1049257818081538
-0.05324173,0.33131552,-0.3304224,-0.030611992,0.21546602,0.0133600235,0.07889384,-0.46087003,0.15672421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.364191,0.7619946,-0.70798254,0.00027656555,0.6300354,1.3891901,-0.12728363,2.0382771,0.26544428,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11599,True,False,True,0.165992727973075
0.9004235,0.076602936,0.27037525,0.14177847,0.73706627,0.6544869,0.0869762,-0.4683888,0.34426236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8380423,1.4164026,0.78991675,0.25297546,1.0233488,1.9167404,-0.11353934,1.7233403,0.39591956,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11600,True,False,True,0.16713032664579405
5.167365,2.132442,0.3206129,0.5607557,0.4878664,4.5510197,-0.17765507,2.6169791,1.0637512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8777273,0.9320972,0.5242393,0.53271437,1.150917,1.9004313,-0.12104873,2.092935,0.50418997,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11601,True,False,True,0.33469605325628093
6.6291447,5.476659,4.934599,4.1565175,4.1959276,6.1328344,-0.20137545,5.4056463,1.4059067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9807532,1.0544178,0.8567178,0.6261914,1.0357528,2.0145245,-0.118842825,1.7977977,0.43683147,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11602,True,False,True,0.21146870798033734
1.8001931,0.36771202,0.22516012,0.08848381,0.118718624,1.3317318,-0.10121851,1.360311,0.11834359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6769335,1.8893499,0.62733054,0.57218957,1.0317712,2.6496327,-0.14604808,2.5538006,0.5737395,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11603,True,False,True,0.29647025096358354
2.4252706,0.2884097,-0.10449839,0.26160526,0.4419546,1.8872259,-0.15512699,3.1035843,0.2171526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8366673,1.0961459,0.3245542,0.615927,1.3453326,2.740125,-0.13610417,2.6073937,0.6539779,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11604,True,False,True,0.2423365925187078
0.14104533,-0.47101164,0.031036854,-0.13943434,0.10587168,0.022252798,-0.0013962984,0.049759626,0.004535675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.285287,1.400284,0.07488537,0.41583037,1.1938553,2.2569194,-0.14452977,2.3402953,0.45434046,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11605,True,False,True,0.19489282657337464
0.6996186,0.0031371117,-0.38129997,-0.26236534,0.11410999,0.39198756,-0.072345346,0.875247,0.052612066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3170662,1.233243,0.5588448,0.58302736,1.0877442,2.289918,-0.13548754,2.31042,0.5274868,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11606,True,False,True,0.2157782732787029
-0.38743114,-0.38539124,-0.13119555,-0.0037517548,-0.27566528,-0.27135348,0.08741394,-0.5814955,0.024012566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6225867,1.3969321,0.37214398,0.63098097,1.3479939,1.7518871,-0.084623575,1.1655807,0.48438358,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11607,True,False,True,0.17782730400702168
1.3985958,0.8541155,0.86590433,0.52836895,0.29118013,1.1200686,-0.015051395,0.08126402,0.10191178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0480406,1.4300618,-0.28181744,0.77651715,1.1765456,2.0679903,-0.092816904,1.4313841,0.5043583,sub-001_ses-01_task-szMonitoring_run-03,1,ictal,11608,True,False,True,0.21733046430890696
-0.8666239,-0.15344381,0.015440941,0.16397715,0.2625246,-0.30973077,0.16014516,-0.9571059,0.15398026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4725649,0.44600534,0.56583166,0.8571832,1.204453,0.93601286,0.05178681,-0.22487378,0.45103836,sub-001_ses-01_task-szMonitoring_run-03,1,control,33,True,False,True,0.09161085246487
-1.3321595,-0.12936544,0.08775473,0.21526623,0.2730527,-0.39705443,0.20585814,-1.0950434,0.18851137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5417454,0.26211548,0.49055767,1.1069417,1.1731992,0.98888624,0.036715895,-0.057594776,0.55713034,sub-001_ses-01_task-szMonitoring_run-03,1,control,65,True,False,True,0.10079641622012422
-1.4716997,-0.3680334,0.30425978,0.5779567,1.0301166,-0.14652348,0.2511502,-1.1532567,0.4594667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4896657,0.32843447,0.7122934,1.7989721,3.141412,2.5359674,0.06482375,0.013512373,1.0972462,sub-001_ses-01_task-szMonitoring_run-03,1,control,101,True,False,True,0.09436352451471976
-1.8921757,-0.18522882,-0.045013428,-0.076551914,0.5716934,-0.5605149,0.24461234,-1.1824116,0.19432545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86354303,0.013356209,-0.060478687,0.8482311,1.626667,0.12357354,0.18740228,-0.69072735,0.5354376,sub-001_ses-01_task-szMonitoring_run-03,1,control,201,True,False,True,0.06160392026522186
-0.75244236,-0.097457886,-0.10103083,0.15592861,0.30033875,-0.2754116,0.13204587,-0.8144295,0.13361812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08006024,0.20379257,0.35446692,0.70028806,1.0453076,0.2890656,0.113784075,-0.40671146,0.5168061,sub-001_ses-01_task-szMonitoring_run-03,1,control,270,True,False,True,0.100490798524746
-0.9513116,-0.6298804,0.06956482,0.015628815,-0.28389025,-0.4970746,0.10324338,-0.73208606,-0.015326023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20786095,0.36805272,0.62813544,0.75234294,1.2113876,0.354522,0.09835604,-0.48645878,0.43330336,sub-001_ses-01_task-szMonitoring_run-03,1,control,346,True,False,True,0.08795662542885925
