seizure_id,subject,vigilance,chs,last10__in_0p5_40,last10__hi_40_48,last10__line_48_52,last10__hi_52_70,last10__hi_70_90,last10__line_98_102,last10__hi_90_125,far__in_0p5_40,far__hi_40_48,far__line_48_52,far__hi_52_70,far__hi_70_90,far__line_98_102,far__hi_90_125
sub-047_ses-01_task-szMonitoring_run-04_seizure-0013,47,awake,2,6.720935602959777e-09,1.9878313254446313e-11,3.4101765030407713e-10,2.265772308687503e-11,9.683886853668458e-12,7.664404835514067e-13,4.562238946704702e-12,2.3767279721944392e-09,6.483089859160476e-12,2.948637903842271e-10,1.3290284991753817e-11,7.82572103593335e-12,7.279634159667344e-13,4.762812277952107e-12
sub-022_ses-01_task-szMonitoring_run-06_seizure-0000,22,awake,2,6.079824327385903e-10,1.5029326621989457e-11,6.9517904338718405e-12,2.3935030688424067e-11,8.97878757029739e-12,5.111237074311827e-13,3.7053344011289045e-12,5.512054589611176e-10,2.3066799016103175e-11,9.440358793205104e-12,2.8031267629763697e-11,9.945491795444613e-12,4.5232510637609143e-13,3.233773658479487e-12
sub-065_ses-01_task-szMonitoring_run-05_seizure-0000,65,awake,2,1.8606257377043812e-10,5.0898882881117615e-12,2.092027058036926e-12,6.769606781376631e-12,3.597917962133032e-12,2.8033103841608806e-13,1.9122737554731496e-12,3.6440475347548025e-09,7.860569485177449e-11,3.4909276963892443e-11,1.2772742948152845e-10,8.298462734179433e-11,7.578573792533194e-12,5.4110777264991326e-11
sub-073_ses-01_task-szMonitoring_run-27_seizure-0000,73,awake,2,4.519971839137803e-10,5.364552813807309e-12,2.2817297020063416e-12,6.488089475943147e-12,2.862567477793733e-12,1.7659957528577546e-13,1.2197142009676568e-12,8.109269770627486e-09,3.3691141169624624e-11,1.4117071048356304e-11,2.411669880509315e-11,2.1928589331760797e-11,4.697074180163446e-12,2.8604634716853123e-11
sub-097_ses-01_task-szMonitoring_run-04_seizure-0001,97,asleep,2,2.3591456488655294e-10,7.375565339643422e-13,3.7887598900715963e-13,1.051026870235842e-12,5.585987679265917e-13,5.351448838968244e-14,3.6965738110691206e-13,2.406828266108851e-10,8.212671701994601e-13,4.032085153011599e-13,1.1483810092546584e-12,6.1970549441621e-13,5.763874555095193e-14,4.0375131703728516e-13
sub-109_ses-01_task-szMonitoring_run-03_seizure-0000,109,asleep,2,1.3465711540237094e-10,3.891499589196831e-12,1.479764850195458e-10,5.10008248457635e-12,2.4140011419501924e-12,4.787645367479804e-13,1.581421343573558e-12,1.1137507122190538e-10,4.688250588735461e-12,1.2952842357640855e-10,6.51599743077634e-12,3.3492243319826288e-12,5.989339331090432e-13,2.184597536163152e-12
sub-113_ses-01_task-szMonitoring_run-06_seizure-0000,113,awake,2,2.444809770189953e-10,2.3078335908026465e-11,7.788157337095015e-12,2.550328736228996e-11,9.589912274513306e-12,4.914848927457682e-13,3.3186424323191447e-12,1.0521752936670229e-09,1.1314609095634579e-10,3.9706201275952385e-11,1.0564178230308516e-10,3.9281623016547224e-11,2.137329426946803e-12,1.3619856176435051e-11
sub-105_ses-01_task-szMonitoring_run-07_seizure-0004,105,asleep,2,2.0609788100883337e-08,1.896442263727585e-09,2.7442480219660486e-07,2.5512804714718253e-09,2.830592249274231e-10,2.637261174860835e-09,2.937736611084414e-09,1.4391272243044459e-09,3.638219332079179e-09,8.171427006989686e-07,4.7958336686169945e-09,2.326543032484289e-10,6.596529768635739e-11,1.836057216890648e-10
sub-119_ses-01_task-szMonitoring_run-31_seizure-0000,119,awake,2,1.4295961355082644e-08,1.230984103293807e-10,2.3726696463079615e-11,1.3595719481249881e-10,6.665146934284641e-11,7.0226475666535315e-12,7.84859013205301e-11,2.0259931244369417e-10,1.2196868549878504e-11,5.4820038931305745e-12,1.6403008527225685e-11,9.149666725562051e-12,6.32980813242384e-13,4.016332554591171e-12
sub-024_ses-01_task-szMonitoring_run-07_seizure-0002,24,asleep,2,1.3252179556372775e-08,6.396527290432394e-11,2.76061000320238e-11,7.35901680098061e-11,2.8611597765646566e-11,1.865825788739998e-12,1.3018525781192471e-11,2.2677551831818247e-09,3.0061221409217466e-11,1.3946342876291997e-11,3.664194087027802e-11,1.6485872798848262e-11,1.060142679899932e-12,7.441741980266323e-12
sub-039_ses-01_task-szMonitoring_run-06_seizure-0001,39,awake,2,4.738254628444118e-10,5.891479759498877e-11,2.5068962566621e-11,7.881146294764543e-11,3.941802295419437e-11,2.7099055297000806e-12,1.84011953829928e-11,4.970069978330644e-10,4.178792062259728e-11,1.803541246115094e-11,5.95956301316367e-11,2.7662217674611942e-11,1.8665934495307846e-12,1.2368689938269811e-11
sub-050_ses-01_task-szMonitoring_run-05_seizure-0002,50,awake,2,6.211099645682112e-10,2.5472451092478518e-11,1.4836819161220438e-11,3.235596042209937e-11,1.8670970556062964e-11,1.869845173207886e-12,1.1405072008637166e-11,1.776872585052986e-09,1.0728633061332241e-10,4.7262983805540744e-11,1.2914711930469835e-10,6.07517443764869e-11,4.9139542562639986e-12,2.9029623842015707e-11
sub-043_ses-01_task-szMonitoring_run-05_seizure-0001,43,awake,2,1.4276227832270155e-09,6.505377509188116e-12,1.491619805051499e-11,9.422879544607608e-12,4.9793556834968774e-12,3.9323496682496106e-13,2.6447897048303647e-12,5.037956714333337e-10,4.291793008449192e-12,1.5588317050264902e-11,5.416678305686231e-12,2.7683286251489363e-12,2.394381254106727e-13,1.4705119983387444e-12
sub-055_ses-01_task-szMonitoring_run-02_seizure-0001,55,asleep,2,2.896345398531604e-10,3.2978588235824386e-12,1.2747580074679511e-12,4.173739220435126e-12,2.141543362180376e-12,1.732118729726797e-13,9.928689461230002e-13,3.9246188465299735e-10,4.739813009049708e-12,1.8107850708177718e-12,5.588498147835348e-12,2.823808870016749e-12,2.2402349666820062e-13,1.3314218783181816e-12
sub-002_ses-01_task-szMonitoring_run-10_seizure-0000,2,awake,2,3.122638803780047e-10,1.0005230257827356e-11,4.184011103491766e-12,1.2015911301689351e-11,5.887238808628842e-12,4.4020424509757886e-13,3.051235882398736e-12,2.064040126047824e-10,2.9936021812744264e-12,1.464811253203138e-12,4.6906587004865754e-12,2.7211528907629287e-12,2.408784868663399e-13,1.538534541156158e-12
sub-040_ses-01_task-szMonitoring_run-04_seizure-0000,40,awake,2,3.128963749668374e-10,1.1200233287816854e-11,1.0245607220416886e-11,1.4429548518864844e-11,7.104959440690276e-12,4.641929414428836e-13,3.3438000239306307e-12,3.6790804713563424e-10,1.553460154565836e-11,7.87689756051831e-12,1.8325311696152186e-11,7.645249817367276e-12,4.2502443573146693e-13,2.9179196026253476e-12
sub-001_ses-01_task-szMonitoring_run-08_seizure-0000,1,awake,2,7.960890255755746e-09,5.90594859622682e-11,2.574368693553573e-11,7.08789720629731e-11,4.3440145989849803e-11,5.408555070610616e-12,4.102097781846948e-11,1.2872120821056047e-10,4.141074689459751e-12,3.766102773060758e-12,5.278611900297887e-12,2.7061660435934035e-12,2.2028125921169445e-13,1.4708624848209804e-12
