rid,auc,n_ict,n_ctl,subject
sub-001_ses-01_task-szMonitoring_run-03,0.9326530612244898,14,70,1
sub-001_ses-01_task-szMonitoring_run-05,0.9866666666666666,15,75,1
sub-001_ses-01_task-szMonitoring_run-07,0.9369897959183674,28,140,1
sub-001_ses-01_task-szMonitoring_run-08,0.992,5,25,1
sub-002_ses-01_task-szMonitoring_run-01,0.7997370151216305,39,195,2
sub-002_ses-01_task-szMonitoring_run-02,0.762128418549346,58,290,2
sub-002_ses-01_task-szMonitoring_run-03,0.6839506172839506,9,45,2
sub-002_ses-01_task-szMonitoring_run-05,0.7850089232599643,41,205,2
sub-002_ses-01_task-szMonitoring_run-06,0.7863148592349452,89,445,2
sub-002_ses-01_task-szMonitoring_run-09,0.7697488750181449,83,415,2
sub-002_ses-01_task-szMonitoring_run-10,0.6951092611862644,31,155,2
sub-003_ses-01_task-szMonitoring_run-06,0.956,10,50,3
sub-004_ses-01_task-szMonitoring_run-01,0.9384999999999999,60,300,4
sub-005_ses-01_task-szMonitoring_run-22,0.794888888888889,30,150,5
sub-005_ses-01_task-szMonitoring_run-23,0.7158145065398336,29,145,5
sub-006_ses-01_task-szMonitoring_run-01,0.5,2,10,6
sub-007_ses-01_task-szMonitoring_run-03,0.9986159169550174,17,85,7
sub-008_ses-01_task-szMonitoring_run-09,0.8666666666666667,3,15,8
sub-009_ses-01_task-szMonitoring_run-09,0.8121883656509694,19,95,9
sub-010_ses-01_task-szMonitoring_run-08,0.7679012345679012,18,90,10
sub-011_ses-01_task-szMonitoring_run-02,0.984,10,50,11
sub-011_ses-01_task-szMonitoring_run-03,0.9725881096475614,53,265,11
sub-012_ses-01_task-szMonitoring_run-03,0.994674012855831,33,165,12
sub-012_ses-01_task-szMonitoring_run-05,0.9937777777777778,15,75,12
sub-013_ses-01_task-szMonitoring_run-01,0.6693877551020408,7,35,13
sub-014_ses-01_task-szMonitoring_run-01,0.8765432098765432,9,45,14
sub-014_ses-01_task-szMonitoring_run-03,0.9222222222222223,6,30,14
sub-015_ses-01_task-szMonitoring_run-01,0.8222222222222222,6,30,15
sub-015_ses-01_task-szMonitoring_run-04,0.7453124999999999,16,80,15
sub-015_ses-01_task-szMonitoring_run-06,0.8999999999999999,6,30,15
sub-015_ses-01_task-szMonitoring_run-08,0.848,5,25,15
sub-015_ses-01_task-szMonitoring_run-09,0.565680473372781,13,65,15
sub-016_ses-01_task-szMonitoring_run-02,0.7057777777777778,45,225,16
sub-016_ses-01_task-szMonitoring_run-03,0.7813846595805802,59,295,16
sub-017_ses-01_task-szMonitoring_run-01,0.891715976331361,26,130,17
sub-018_ses-01_task-szMonitoring_run-03,0.9767857142857143,28,140,18
