rid,n_ict,n_ctl,real_auc,sham_med,sham_p90,sham_frac_gt70
sub-001_ses-01_task-szMonitoring_run-03,14,70,0.9326530612244898,0.4959183673469388,0.7963265306122449,0.15
sub-001_ses-01_task-szMonitoring_run-05,15,75,0.9831111111111112,0.5351111111111111,0.6970666666666667,0.1
sub-001_ses-01_task-szMonitoring_run-07,28,140,0.9408163265306122,0.45482845312037856,0.6593156610470277,0.05
sub-001_ses-01_task-szMonitoring_run-08,5,25,1.0,0.484,0.6576000000000002,0.05
sub-002_ses-01_task-szMonitoring_run-01,39,195,0.829059829059829,0.4995113818643231,0.7604134213584551,0.25
sub-002_ses-01_task-szMonitoring_run-02,58,290,0.7494649227110582,0.4731058766391452,0.5749225886821843,0.0
sub-002_ses-01_task-szMonitoring_run-03,9,45,0.6617283950617284,0.4024691358024691,0.6696296296296297,0.05
sub-002_ses-01_task-szMonitoring_run-05,41,205,0.7919095776323617,0.4151138444669956,0.654883997620464,0.05
sub-002_ses-01_task-szMonitoring_run-06,89,445,0.7983840424188864,0.4323554832477503,0.6658701922475436,0.1
sub-002_ses-01_task-szMonitoring_run-09,83,415,0.780200319349688,0.5570580970192416,0.6744465546916731,0.05
sub-002_ses-01_task-szMonitoring_run-10,31,155,0.6978147762747138,0.5048287625144088,0.6374074326708918,0.05
sub-003_ses-01_task-szMonitoring_run-06,10,50,0.922,0.41600000000000004,0.5982000000000002,0.1
sub-004_ses-01_task-szMonitoring_run-01,60,300,0.9404444444444444,0.47265263842437755,0.6525585284280937,0.05
sub-005_ses-01_task-szMonitoring_run-22,30,150,0.8333333333333333,0.4666666666666667,0.7296959984459985,0.15
sub-005_ses-01_task-szMonitoring_run-23,29,145,0.7141498216409037,0.49981586074778706,0.6289417360285376,0.05
sub-006_ses-01_task-szMonitoring_run-01,2,10,0.65,0.6499999999999999,0.9100000000000001,0.4
sub-007_ses-01_task-szMonitoring_run-03,17,85,0.9923875432525952,0.46747404844290663,0.6855940023068051,0.05
sub-008_ses-01_task-szMonitoring_run-09,3,15,0.9333333333333333,0.5444444444444445,0.8111111111111113,0.25
sub-009_ses-01_task-szMonitoring_run-09,19,95,0.8515235457063711,0.5745800671892498,0.7880100080421767,0.25
sub-010_ses-01_task-szMonitoring_run-08,18,90,0.7728395061728395,0.40556958473625143,0.7904657530359777,0.2
sub-011_ses-01_task-szMonitoring_run-02,10,50,1.0,0.54,0.9234,0.3
sub-011_ses-01_task-szMonitoring_run-03,53,265,0.9629049483802065,0.38704435880753385,0.6546520848750332,0.05
sub-012_ses-01_task-szMonitoring_run-03,33,165,0.9987144168962351,0.5706135532683219,0.7371234937213744,0.2
sub-012_ses-01_task-szMonitoring_run-05,15,75,0.9866666666666667,0.5111111111111111,0.8935415525114156,0.3
sub-013_ses-01_task-szMonitoring_run-01,7,35,0.6408163265306122,0.4,0.8008163265306125,0.2
sub-014_ses-01_task-szMonitoring_run-01,9,45,0.8839506172839505,0.49629629629629635,0.6871604938271606,0.1
sub-014_ses-01_task-szMonitoring_run-03,6,30,0.8944444444444445,0.5777777777777777,0.733888888888889,0.15
sub-015_ses-01_task-szMonitoring_run-01,6,30,0.888888888888889,0.5527777777777778,0.7422222222222223,0.15
sub-015_ses-01_task-szMonitoring_run-04,16,80,0.7562500000000001,0.5359375,0.7524218750000001,0.25
sub-015_ses-01_task-szMonitoring_run-06,6,30,0.9222222222222222,0.5361111111111111,0.8655555555555557,0.2
sub-015_ses-01_task-szMonitoring_run-08,5,25,0.896,0.54,0.8088000000000001,0.3
sub-015_ses-01_task-szMonitoring_run-09,13,65,0.6804733727810651,0.5082840236686391,0.954792899408284,0.15
sub-016_ses-01_task-szMonitoring_run-02,45,225,0.7042962962962964,0.5217261904761905,0.6316656656656657,0.05
sub-016_ses-01_task-szMonitoring_run-03,59,295,0.7408790577420281,0.5243871004305198,0.7697125833615683,0.25
sub-017_ses-01_task-szMonitoring_run-01,26,130,0.8846153846153846,0.530819077966607,0.6537412167159764,0.0
sub-018_ses-01_task-szMonitoring_run-03,28,140,0.9836734693877551,0.4252551020408163,0.7283625752459258,0.15
sub-019_ses-01_task-szMonitoring_run-07,30,150,0.9446666666666667,0.48777777777777775,0.6530444444444446,0.1
sub-020_ses-01_task-szMonitoring_run-05,13,65,1.0,0.5568047337278106,0.8669822485207102,0.35
sub-021_ses-01_task-szMonitoring_run-01,31,155,0.9764828303850156,0.5772502690946214,0.6774788954662293,0.1
sub-021_ses-01_task-szMonitoring_run-04,40,200,0.95025,0.6223055555555554,0.7431395202020202,0.2
sub-022_ses-01_task-szMonitoring_run-04,48,240,0.09383680555555556,0.576622431404801,0.7290108525104603,0.25
sub-022_ses-01_task-szMonitoring_run-06,20,100,0.11250000000000002,0.55125,0.6890000000000002,0.1
sub-022_ses-01_task-szMonitoring_run-10,8,40,0.721875,0.3734375,0.6984375000000002,0.1
sub-023_ses-01_task-szMonitoring_run-03,16,80,0.9320312500000001,0.6421875,0.76359375,0.35
sub-024_ses-01_task-szMonitoring_run-01,33,165,0.9748393021120294,0.43644706488387197,0.7780276834153019,0.3
sub-024_ses-01_task-szMonitoring_run-07,20,100,0.9924999999999999,0.5685,0.7812000000000001,0.25
sub-025_ses-01_task-szMonitoring_run-03,5,25,0.96,0.496,0.7599999999999999,0.15
sub-025_ses-01_task-szMonitoring_run-04,25,125,0.9231999999999999,0.4539535483870968,0.6918358709677419,0.1
sub-026_ses-01_task-szMonitoring_run-03,9,45,1.0,0.41178451178451175,0.6597530864197532,0.1
sub-026_ses-01_task-szMonitoring_run-04,15,75,0.9991111111111112,0.6142222222222222,0.8289777777777778,0.25
sub-026_ses-01_task-szMonitoring_run-06,16,80,0.93984375,0.5143875770853619,0.7223376623376625,0.15
sub-027_ses-01_task-szMonitoring_run-07,10,50,1.0,0.435,0.8318000000000001,0.25
sub-028_ses-01_task-szMonitoring_run-01,5,25,0.856,0.5680000000000001,0.8408,0.3
sub-028_ses-01_task-szMonitoring_run-04,21,105,0.9492063492063493,0.4934240362811791,0.7831266352694924,0.25
sub-028_ses-01_task-szMonitoring_run-05,9,45,0.9679012345679013,0.4419753086419753,0.7360493827160494,0.15
sub-029_ses-01_task-szMonitoring_run-08,40,200,0.96,0.4670474246231156,0.7178712939698494,0.15
sub-029_ses-01_task-szMonitoring_run-10,10,50,0.8300000000000001,0.43,0.8263999999999999,0.3
sub-030_ses-01_task-szMonitoring_run-03,45,225,0.7714567901234568,0.5844728835978836,0.6790626984126985,0.05
sub-030_ses-01_task-szMonitoring_run-04,28,140,0.7301020408163266,0.6473861283643891,0.7428635662898252,0.25
sub-030_ses-01_task-szMonitoring_run-05,21,105,0.6154195011337869,0.5176870748299319,0.8128798185941044,0.25
sub-031_ses-01_task-szMonitoring_run-03,36,180,0.9035493827160495,0.47677469135802475,0.6288237119801366,0.05
sub-033_ses-01_task-szMonitoring_run-12,21,105,0.9310657596371881,0.5304842810910773,0.767089220303506,0.3
sub-034_ses-01_task-szMonitoring_run-01,4,20,0.8125,0.40625,0.9275000000000001,0.25
sub-034_ses-01_task-szMonitoring_run-03,13,65,0.8130177514792899,0.6550295857988165,0.8608579881656806,0.4
sub-034_ses-01_task-szMonitoring_run-07,19,95,0.8437673130193906,0.47534626038781164,0.7435457063711911,0.15
sub-034_ses-01_task-szMonitoring_run-08,7,35,0.8408163265306123,0.5408163265306123,0.755966386554622,0.2
sub-034_ses-01_task-szMonitoring_run-09,32,160,0.8677734375,0.4972729952830188,0.7327633647798744,0.15
sub-035_ses-01_task-szMonitoring_run-03,20,100,0.657,0.7111893939393938,0.88425,0.5
sub-035_ses-01_task-szMonitoring_run-06,6,30,0.7388888888888888,0.5666666666666667,0.7277777777777781,0.15
sub-035_ses-01_task-szMonitoring_run-07,20,100,0.84,0.37898737373737373,0.898420202020202,0.2
sub-035_ses-01_task-szMonitoring_run-09,6,30,0.7888888888888889,0.4722222222222222,0.6694444444444445,0.0
sub-035_ses-01_task-szMonitoring_run-11,17,85,0.8844290657439446,0.5217993079584775,0.7975778546712803,0.25
sub-035_ses-01_task-szMonitoring_run-14,5,25,0.752,0.30833333333333335,0.8808,0.3
sub-036_ses-01_task-szMonitoring_run-01,23,115,0.2294896030245747,0.5471412463104832,0.7936483931947071,0.25
sub-037_ses-01_task-szMonitoring_run-01,59,295,0.7495547256535477,0.6349585764773892,0.9507226401045911,0.4
sub-038_ses-01_task-szMonitoring_run-07,17,85,1.0,0.48333333333333334,0.7532871972318339,0.25
sub-039_ses-01_task-szMonitoring_run-01,14,70,0.710204081632653,0.4678571428571429,0.7096938775510204,0.15
sub-039_ses-01_task-szMonitoring_run-04,37,185,0.8138787436084735,0.5517676889291288,0.6860934671451712,0.1
sub-039_ses-01_task-szMonitoring_run-06,26,130,0.830473372781065,0.4801775147928994,0.6922829228017064,0.1
sub-039_ses-01_task-szMonitoring_run-08,2,10,0.8,0.475,0.8,0.15
sub-039_ses-01_task-szMonitoring_run-09,22,110,0.8169421487603306,0.5289824854045038,0.8679752066115702,0.15
sub-040_ses-01_task-szMonitoring_run-04,27,135,0.8455418381344307,0.3998628257887517,0.6197256515775036,0.1
sub-040_ses-01_task-szMonitoring_run-05,7,35,0.9469387755102041,0.5204081632653061,0.789795918367347,0.3
