tag,sop,reported,obs,fa_per_h,ndec_mean,ndec_min,ndec_max,pooled,pooled_contig,frac_contig,matched_subj,n_matched,matched_rec,n_matched_rec
spectral-gru__large__h45__sop10,10,0.0559440559440559,0.055944055944055944,1.000031588020018,9.839160839160838,1,10,0.04613126441602013,0.045804719088980414,0.9916660842012068,0.05240707900409336,286,0.05308434109454764,285
spectral-gru__large__h45__sop30,30,0.0839160839160839,0.08391608391608392,1.0001370989854674,29.3006993006993,16,30,0.08272592945189858,0.0823936429820637,0.9752972560219756,0.09028879825333194,286,0.07474307491647837,267
logistic-mean__small__h5__sop10,10,0.0979020979020979,0.0979020979020979,1.000031588020018,9.839160839160838,1,10,0.07174576547610727,0.07172141257844199,0.9916660842012068,0.07221715495966201,286,0.07113767990766975,285
logistic-mean__small__h15__sop10,10,0.0349650349650349,0.03496503496503497,1.000031588020018,9.839160839160838,1,10,0.04315603084737075,0.04314750031130105,0.9916660842012068,0.044455248207282715,286,0.04099139134038812,285
spectral-meanpool__small__h5__sop10,10,0.0769230769230769,0.07692307692307693,1.000031588020018,9.839160839160838,1,10,0.06935532722909532,0.06916052091825586,0.9916660842012068,0.07779959879217273,286,0.07338555028872276,285
spectral-meanpool__small__h45__sop30,30,0.0489510489510489,0.04895104895104895,1.0001370989854674,29.3006993006993,16,30,0.046899017245311835,0.046678630983853255,0.9752972560219756,0.035711608620199516,286,0.036857928634522905,267
spectral-attention__small__h15__sop30,30,0.1398601398601398,0.13986013986013987,1.0001370989854674,29.3006993006993,16,30,0.11161604141254872,0.11101140846788954,0.9752972560219756,0.12982571751969765,286,0.14533417414967933,267
spectral-gru__large__h15__sop30,30,0.1538461538461538,0.15384615384615385,1.0001370989854674,29.3006993006993,16,30,0.13490316246690268,0.1342553991946964,0.9752972560219756,0.12678289748289748,286,0.14638169292186637,267
spectral-gru__small__h45__sop30,30,0.1153846153846153,0.11538461538461539,1.0001370989854674,29.3006993006993,16,30,0.07534287329307113,0.07480833367226583,0.9752972560219756,0.08643719048323373,286,0.08223498480004843,267
logistic-mean__small__h5__sop30,30,0.1818181818181818,0.18181818181818182,1.0001370989854674,29.3006993006993,16,30,0.1618991659972828,0.161325090494977,0.9752972560219756,0.16894514664886504,286,0.17804946397022384,267
spectral-attention__large__h5__sop10,10,0.1013986013986013,0.10139860139860139,1.000031588020018,9.839160839160838,1,10,0.08372125532955896,0.0835179603085287,0.9916660842012068,0.09218869642001822,286,0.08879907927692841,285
spectral-gru__small__h5__sop10,10,0.0944055944055944,0.0944055944055944,1.000031588020018,9.839160839160838,1,10,0.07280585261294005,0.07256721165887044,0.9916660842012068,0.08619035644734599,286,0.09284429718199984,285
spectral-meanpool__large__h5__sop10,10,0.1083916083916083,0.10839160839160839,1.000031588020018,9.839160839160838,1,10,0.07822278138906363,0.07812129228701722,0.9916660842012068,0.08140408906136039,286,0.0796400578734412,285
spectral-attention__small__h5__sop10,10,0.0909090909090909,0.09090909090909091,1.000031588020018,9.839160839160838,1,10,0.07522424920202232,0.07507641559747481,0.9916660842012068,0.0901040063909635,286,0.08816095153465991,285
spectral-meanpool__large__h45__sop30,30,0.0209790209790209,0.02097902097902098,1.0001370989854674,29.3006993006993,16,30,0.05238300657483712,0.05234727701630943,0.9752972560219756,0.039269811366474,286,0.03659842859303399,267
spectral-attention__small__h45__sop30,30,0.0734265734265734,0.07342657342657342,1.0001370989854674,29.3006993006993,16,30,0.06408730749015758,0.06366169113759304,0.9752972560219756,0.06865120236872145,286,0.07066739245413353,267
logistic-mean__small__h15__sop30,30,0.0839160839160839,0.08391608391608392,1.0001370989854674,29.3006993006993,16,30,0.092536121936949,0.09196170740635295,0.9752972560219756,0.09155066540630875,286,0.10414040686529975,267
spectral-attention__large__h15__sop10,10,0.0419580419580419,0.04195804195804196,1.000031588020018,9.839160839160838,1,10,0.05366370774213089,0.05350149072087926,0.9916660842012068,0.04133592682222295,286,0.04392032782826947,285
spectral-meanpool__small__h45__sop10,10,0.0244755244755244,0.024475524475524476,1.000031588020018,9.839160839160838,1,10,0.030160061508352556,0.030056410099780797,0.9916660842012068,0.028238493802287667,286,0.029453926842000256,285
spectral-gru__large__h5__sop10,10,0.0944055944055944,0.0944055944055944,1.000031588020018,9.839160839160838,1,10,0.08979986486801332,0.08977452406180912,0.9916660842012068,0.08126682907182309,286,0.08541835825667342,285
spectral-attention__small__h45__sop10,10,0.0384615384615384,0.038461538461538464,1.000031588020018,9.839160839160838,1,10,0.03630623704014352,0.036268334457149706,0.9916660842012068,0.034078979079444335,286,0.03362769694313636,285
