tag,sop,lift,se,lo,hi,z
spectral-gru__large__h45__sop10,10.0,0.0030560097826453432,0.013937952250282533,-0.023026471035494166,0.03031523898435211,0.21925816129721606
spectral-gru__large__h45__sop30,30.0,0.0113992471808999,0.01767950967285688,-0.023027612370529922,0.04759175580605141,0.6447716815586246
logistic-mean__small__h5__sop10,10.0,0.02710793412741797,0.01779072241216924,-0.003644824321767408,0.06585965491746557,1.5237118257140334
logistic-mean__small__h15__sop10,10.0,-0.005903672042142506,0.009654475113184477,-0.024955962082926213,0.013042301521847655,-0.6114959097134398
spectral-meanpool__small__h5__sop10,10.0,0.0038074321674175754,0.014219335082160823,-0.023336729987172424,0.03308702575995554,0.26776443099609293
spectral-meanpool__small__h45__sop30,30.0,0.015576528294316048,0.012059095669102834,-0.005305420919804573,0.04142581101844261,1.2916829521657573
spectral-attention__small__h15__sop30,30.0,-0.0030120767714021646,0.016456319420097752,-0.035879389634504884,0.02803244819868005,-0.18303465644471992
spectral-gru__large__h15__sop30,30.0,0.007176359512590545,0.022878401348840324,-0.03714132757433793,0.052532365671484504,0.31367399335156365
spectral-gru__small__h45__sop30,30.0,0.03386988411380924,0.017266352113078674,0.0027362356401809573,0.07012443240496824,1.9616120354776014
logistic-mean__small__h5__sop30,30.0,0.005471135280712506,0.019818653237946172,-0.03319452488968898,0.045242930440510594,0.2760598924167607
spectral-attention__large__h5__sop10,10.0,0.012955306687983873,0.016588963898625044,-0.016596704003381025,0.0491213314315346,0.7809593635355163
spectral-gru__small__h5__sop10,10.0,0.001892544923263329,0.017741363849851234,-0.032255219119881384,0.038909868709893596,0.10667415083081104
spectral-meanpool__large__h5__sop10,10.0,0.029131871951120214,0.018561494811237162,-0.007097656853716142,0.06633440547119894,1.5694787649044153
spectral-attention__small__h5__sop10,10.0,-0.0004416532890458823,0.0115730502027173,-0.02183490244598577,0.022622540851353255,-0.03816222009839585
spectral-meanpool__large__h45__sop30,30.0,-0.014126518480674444,0.011476092265764317,-0.03697571802790091,0.007136774205495744,-1.230951978559542
spectral-attention__small__h45__sop30,30.0,0.007984292939124915,0.01517199249422365,-0.021013955608512217,0.03774147240771399,0.5262521018359805
logistic-mean__small__h15__sop30,30.0,-0.017998084767921477,0.017386049820574737,-0.052940014419347196,0.017245279716942487,-1.0352026454348735
spectral-attention__large__h15__sop10,10.0,-0.0018150646703747307,0.011447649821527855,-0.024070022727714007,0.02124392287066775,-0.1585534759249374
spectral-meanpool__small__h45__sop10,10.0,-0.004892523333228326,0.009121745081150798,-0.022125240704603866,0.013536404664985712,-0.5363582614622997
spectral-gru__large__h5__sop10,10.0,0.009318483848589739,0.015866478458789815,-0.021605378122104613,0.04043126642342793,0.587306368756794
spectral-attention__small__h45__sop10,10.0,0.004968794284933817,0.01152701636163028,-0.016891901652496318,0.029337000769641585,0.43105640948626833
spectral-meanpool__large__h5__sop30,30.0,0.014858717825806254,0.0170489700894936,-0.018610568838238268,0.04814185604882777,0.8715316965077506
spectral-gru__small__h5__sop30,30.0,0.003778241129934349,0.01728237634851296,-0.03127532054266672,0.03679406178356327,0.21861814913314528
spectral-gru__small__h15__sop30,30.0,0.0037889866429640434,0.014538837416708313,-0.022192136250918724,0.03560593569154752,0.2606113910187665
spectral-gru__large__h5__sop30,30.0,0.008957945201754365,0.018900967623643933,-0.027664141839614468,0.04652170456322704,0.47394109021955755
spectral-attention__large__h15__sop30,30.0,0.0294044838327241,0.025436594646838936,-0.020459529005975783,0.07981651120739781,1.155991367593628
spectral-meanpool__small__h15__sop30,30.0,0.010042411936142259,0.014701666794551546,-0.018136201242368245,0.03860481494278585,0.6830798219331149
spectral-meanpool__small__h15__sop10,10.0,0.015562635930411682,0.013841085760617267,-0.009557357353914896,0.044932851515164074,1.1243797054341522
spectral-attention__large__h5__sop30,30.0,0.004513128604646405,0.026426593346693405,-0.04494768645891486,0.05797695635184294,0.17077981052790916
spectral-gru__large__h15__sop10,10.0,0.0395432189549331,0.017478570518211393,0.005585114717371169,0.07365071399265098,2.262382894169289
spectral-attention__small__h15__sop10,10.0,0.005689874335456392,0.013799514479596996,-0.01961311476346867,0.033890597998401405,0.41232424110783356
spectral-meanpool__large__h15__sop30,30.0,0.0278534878989757,0.0191334473037197,-0.008838917747505759,0.06496061944972967,1.4557485358929936
spectral,,-0.011349135185455519,0.006977513025537592,-0.024641186700950807,0.0025224682623310327,-1.6265301324293993
logistic-mean__small__h45__sop30,30.0,0.018559148469050782,0.015469653453376711,-0.01006301223197691,0.050217841732394866,1.1997132660395633
linear,,-0.002942458163604427,0.006380387869367387,-0.014510516183344408,0.010512040550596232,-0.46117230235035395
logistic-mean__small__h45__sop10,10.0,-0.002942458163604427,0.00638712974936571,-0.01457427327876375,0.009916509224720383,-0.46068551588397516
