tag,ndec_mean,ndec_a,obs,pooled,matched,sop
spectral-gru__large__h45__sop10,9.839160839160838,10,0.055944055944055944,0.04613126441602013,0.05308434109454764,10.0
spectral-gru__large__h45__sop30,29.3006993006993,29,0.08391608391608392,0.08272592945189858,0.07474307491647837,30.0
logistic-mean__small__h5__sop10,9.839160839160838,10,0.0979020979020979,0.07174576547610727,0.07113767990766975,10.0
logistic-mean__small__h15__sop10,9.839160839160838,10,0.03496503496503497,0.04315603084737075,0.04099139134038812,10.0
spectral-meanpool__small__h5__sop10,9.839160839160838,10,0.07692307692307693,0.06935532722909532,0.07338555028872276,10.0
spectral-meanpool__small__h45__sop30,29.3006993006993,29,0.04895104895104895,0.046899017245311835,0.036857928634522905,30.0
spectral-attention__small__h15__sop30,29.3006993006993,29,0.13986013986013987,0.11161604141254872,0.14533417414967933,30.0
spectral-gru__large__h15__sop30,29.3006993006993,29,0.15384615384615385,0.13490316246690268,0.1463816929218664,30.0
spectral-gru__small__h45__sop30,29.3006993006993,29,0.11538461538461539,0.07534287329307113,0.08223498480004843,30.0
logistic-mean__small__h5__sop30,29.3006993006993,29,0.18181818181818182,0.1618991659972828,0.17804946397022384,30.0
spectral-attention__large__h5__sop10,9.839160839160838,10,0.10139860139860139,0.08372125532955896,0.08879907927692841,10.0
spectral-gru__small__h5__sop10,9.839160839160838,10,0.0944055944055944,0.07280585261294005,0.09284429718199984,10.0
spectral-meanpool__large__h5__sop10,9.839160839160838,10,0.10839160839160839,0.07822278138906363,0.0796400578734412,10.0
spectral-attention__small__h5__sop10,9.839160839160838,10,0.09090909090909091,0.07522424920202232,0.08816095153465991,10.0
spectral-meanpool__large__h45__sop30,29.3006993006993,29,0.02097902097902098,0.05238300657483712,0.03659842859303399,30.0
spectral-attention__small__h45__sop30,29.3006993006993,29,0.07342657342657342,0.06408730749015758,0.0706673924541335,30.0
logistic-mean__small__h15__sop30,29.3006993006993,29,0.08391608391608392,0.092536121936949,0.10414040686529978,30.0
spectral-attention__large__h15__sop10,9.839160839160838,10,0.04195804195804196,0.05366370774213089,0.04392032782826946,10.0
spectral-meanpool__small__h45__sop10,9.839160839160838,10,0.024475524475524476,0.030160061508352556,0.029453926842000256,10.0
spectral-gru__large__h5__sop10,9.839160839160838,10,0.0944055944055944,0.08979986486801332,0.08541835825667342,10.0
spectral-attention__small__h45__sop10,9.839160839160838,10,0.038461538461538464,0.03630623704014352,0.03362769694313635,10.0
spectral-meanpool__large__h5__sop30,29.3006993006993,29,0.15034965034965034,0.133599103521455,0.13120869790453082,30.0
spectral-gru__small__h5__sop30,29.3006993006993,29,0.1258741258741259,0.1258887930265076,0.13105321954422294,30.0
spectral-gru__small__h15__sop30,29.3006993006993,29,0.08041958041958042,0.10205624807862038,0.08235333545441424,30.0
spectral-gru__large__h5__sop30,29.3006993006993,29,0.20279720279720279,0.16682781463521057,0.1932892458094816,30.0
spectral-attention__large__h15__sop30,29.3006993006993,29,0.15734265734265734,0.11590753577484901,0.12789888695379273,30.0
spectral-meanpool__small__h15__sop30,29.3006993006993,29,0.07692307692307693,0.08218298475788137,0.0723545918091761,30.0
spectral-meanpool__small__h15__sop10,9.839160839160838,10,0.06293706293706294,0.048153584492439595,0.044086486876605865,10.0
spectral-attention__large__h5__sop30,29.3006993006993,29,0.21328671328671328,0.2034356746893563,0.20147938075864946,30.0
spectral-gru__large__h15__sop10,9.839160839160838,10,0.0979020979020979,0.06409915891987605,0.05870239508015461,10.0
spectral-attention__small__h15__sop10,9.839160839160838,10,0.05244755244755245,0.05296707905221221,0.04343293268208747,10.0
spectral-meanpool__large__h15__sop30,29.3006993006993,29,0.08741258741258741,0.08481589464393736,0.062034152550462504,30.0
spectral,9.839160839160838,10,0.03146853146853147,0.04080520025162508,0.04292808255387657,
logistic-mean__small__h45__sop30,29.3006993006993,29,0.06293706293706294,0.053069744840785804,0.04511126351596795,30.0
linear,9.839160839160838,10,0.024475524475524476,0.02841033526711866,0.0239950897425518,
logistic-mean__small__h45__sop10,9.839160839160838,10,0.024475524475524476,0.02841033526711866,0.0239950897425518,10.0
spectral-attention__small__h5__sop30,29.3006993006993,29,0.10839160839160839,0.1283580757445036,0.12537604339366543,30.0
spectral-attention__large__h45__sop10,9.839160839160838,10,0.04195804195804196,0.03828428974161832,0.046018687590889014,10.0
spectral-meanpool__large__h15__sop10,9.839160839160838,10,0.024475524475524476,0.04312341278162205,0.05272667279087225,10.0
spectral-meanpool__large__h45__sop10,9.839160839160838,10,0.027972027972027972,0.028161040050325017,0.01837167102735722,10.0
spectral-meanpool__small__h5__sop30,29.3006993006993,29,0.0944055944055944,0.11662402443499043,0.1001856904010389,30.0
spectral-attention__large__h45__sop30,29.3006993006993,29,0.09090909090909091,0.07675601701722548,0.07478642389452751,30.0
spectral-gru__small__h15__sop10,9.839160839160838,10,0.03496503496503497,0.05605880571282123,0.05225739725615851,10.0
spectral-gru__small__h45__sop10,9.839160839160838,10,0.02097902097902098,0.04305584678828545,0.03514305108916592,10.0
