last_in_0.5_40,last_hi_40_48,last_hi_52_70,last_hi_70_90,last_hi_90_125,base_in_0.5_40,base_hi_40_48,base_hi_52_70,base_hi_70_90,base_hi_90_125,seizure_id,subject,vig,fs,frac_above40
-22.983749471699667,-26.75241760360802,-26.660923624500597,-27.044266754136423,-27.189121089105914,-21.7996361880298,-26.656088428450126,-26.440035489695795,-26.815308656644806,-27.083031706928338,sub-098_ses-01_task-szMonitoring_run-03_seizure-0000,98,asleep,256.0,0.07453036406194187
-19.26212923961235,-18.719268989825437,-18.582140508097574,-21.783195214943717,-22.079852858459034,-18.92809798432856,-17.73852343921557,-17.542568568464695,-20.83762244361644,-21.49881255971694,sub-105_ses-01_task-szMonitoring_run-07_seizure-0004,105,asleep,256.0,0.79317020097464
-17.814924104140626,-22.8935855239884,-22.532562553494568,-23.2315630035911,-24.157939524354845,-22.338758539159763,-25.09073146872651,-24.786610708801717,-25.441846357065913,-26.208929846500233,sub-072_ses-01_task-szMonitoring_run-12_seizure-0000,72,awake,256.0,0.02091860219612408
-21.89869677421305,-24.318021583979053,-24.17472562990818,-24.98280795238868,-25.87673469400421,-22.454741470327406,-24.963033530226973,-24.426564406012858,-25.088891139287938,-25.913589987994566,sub-072_ses-01_task-szMonitoring_run-16_seizure-0000,72,awake,256.0,0.2039268139299426
-22.722184014658087,-26.77222599882426,-26.671184306493387,-27.009505690226447,-27.228990045622897,-22.157914169200716,-25.56138994435619,-25.409979668371392,-25.99930878014746,-26.60679401997895,sub-073_ses-01_task-szMonitoring_run-32_seizure-0000,73,asleep,256.0,0.057911081478020675
-18.397179198905878,-21.45369935668205,-21.167258922295645,-21.751907849177805,-22.37566077754478,-18.36306939394988,-21.36034002284316,-21.146895187748186,-21.762409598655765,-22.38915482865265,sub-051_ses-01_task-szMonitoring_run-02_seizure-0000,51,asleep,256.0,0.14040683189866524
-20.55312928874787,-24.869423464884832,-24.633753839242594,-25.242765995796955,-26.013584159024752,-20.861583976215154,-24.890146788899123,-24.670312217029803,-25.275589214870372,-26.040859115161197,sub-056_ses-01_task-szMonitoring_run-04_seizure-0001,56,asleep,256.0,0.041859084937118346
-21.74742052356308,-24.68910027764943,-24.404859189030716,-25.043935614182267,-25.837011560207902,-21.15442922238374,-24.11889739699819,-23.893607543994197,-24.78586823557193,-25.736128795071934,sub-073_ses-01_task-szMonitoring_run-46_seizure-0000,73,awake,256.0,0.15013872092235467
-20.83519710294057,-24.04847891865999,-23.627409702879973,-24.274472020687284,-24.764798551957778,-20.864177366402366,-23.97327423887198,-23.597601002803124,-24.182219063887455,-24.85233860560553,sub-024_ses-01_task-szMonitoring_run-01_seizure-0002,24,awake,256.0,0.1328847957935913
-20.925508445288905,-24.668615764670214,-24.38502077292727,-24.977406189632894,-25.540029109881484,-20.607580340781467,-23.091691439694415,-22.674431595296234,-23.353267086384136,-24.18481868091247,sub-003_ses-01_task-szMonitoring_run-06_seizure-0003,3,awake,256.0,0.07614570875187805
-19.794531167927907,-26.413044381133904,-26.347591862883178,-26.835979083645903,-27.1557589532596,-19.94919092102878,-26.62022988855447,-26.661601238467924,-27.044915796688137,-27.248275257738463,sub-030_ses-01_task-szMonitoring_run-03_seizure-0000,30,asleep,256.0,0.00425326926558748
-20.596099417719692,-23.656836319717662,-23.490312904275715,-24.478482541218273,-25.39420382203529,-19.79884435227875,-22.76094999279998,-22.70044608336977,-23.61271085811432,-24.443486988142755,sub-007_ses-01_task-szMonitoring_run-03_seizure-0000,7,awake,256.0,0.11586010107700162
-20.269272475978582,-24.583243257183444,-24.42722127508889,-25.07505009444754,-25.758653381383148,-20.23729208504176,-24.524820226089012,-24.33706585034028,-25.03207193634352,-25.66912103400268,sub-043_ses-01_task-szMonitoring_run-05_seizure-0001,43,awake,256.0,0.03969207609421822
-21.838153616307714,-24.880915292151105,-24.59718083834137,-25.157749745946738,-25.675444424598005,-21.677892937859145,-24.235677529735,-23.76992848833217,-24.441743419213907,-25.02355646268128,sub-099_ses-01_task-szMonitoring_run-01_seizure-0000,99,asleep,256.0,0.14440382663097343
-20.87385201561062,-21.721863883739516,-21.54422457685766,-24.165887606996375,-21.429543015385875,-20.322573289110714,-23.60471171157606,-23.360925283625114,-24.37729765356096,-23.43804218640679,sub-109_ses-01_task-szMonitoring_run-07_seizure-0003,109,asleep,256.0,0.6079411231168909
-23.440169523523338,-26.089185454928625,-25.757870173895398,-26.29667274113037,-26.863360693765173,-23.259330887843447,-25.63994995481918,-25.265069963997192,-25.855080189941784,-26.52509021200359,sub-074_ses-01_task-szMonitoring_run-17_seizure-0000,74,awake,256.0,0.20590688477055816
-21.288019701355637,-25.60443917378832,-25.360251657249997,-25.93470662621288,-26.540863863809435,-20.984031957912684,-24.101587599499027,-23.92118898109876,-24.836636583136602,-25.79726402273959,sub-064_ses-01_task-szMonitoring_run-02_seizure-0001,64,awake,256.0,0.04325707631670064
-19.922861203653696,-22.833594781078194,-22.632468072864263,-23.360710179495207,-24.30694371324512,-20.458743549599674,-23.656751598831917,-23.432624737311855,-24.172591403056884,-25.174552566355977,sub-039_ses-01_task-szMonitoring_run-04_seizure-0004,39,awake,256.0,0.14207776559825427
-20.236316555586885,-26.269370175591256,-26.090404132641996,-26.614396436605,-26.76064753099884,-20.259658011993864,-25.496760578756106,-25.416946585591703,-26.373626086322393,-26.81479446618588,sub-047_ses-01_task-szMonitoring_run-02_seizure-0001,47,awake,256.0,0.008361488484455611
-21.05566909557276,-24.149915363637067,-23.815760126440928,-24.4610943384099,-25.330267012050804,-20.09079883643718,-21.92601631630865,-21.61069596481697,-22.081430050555785,-22.94180041308087,sub-103_ses-01_task-szMonitoring_run-02_seizure-0000,103,asleep,256.0,0.13472766459291552
