tag,thr,obs,null_mean,null_sd,null_p95,p,n_seiz
spectral-gru__large__h15__sop10,0.8048222661018372,0.0979020979020979,0.06051748251748252,0.013178217311592844,0.08391608391608392,0.008,286
logistic-mean__small__h5__sop10,0.6565907001495361,0.0979020979020979,0.07156643356643358,0.01257039253358203,0.09090909090909091,0.032,286
spectral-gru__small__h45__sop30,0.8620786666870117,0.11538461538461539,0.09167832167832168,0.012345975108275179,0.11188811188811189,0.038,286
spectral-meanpool__large__h5__sop10,0.8103659152984619,0.10839160839160839,0.08329370629370629,0.014447929848373297,0.10506993006992991,0.05,286
spectral-attention__large__h15__sop30,0.912854790687561,0.15734265734265734,0.13212587412587412,0.015550227491594591,0.15734265734265734,0.06,286
spectral-meanpool__large__h15__sop30,0.8637686967849731,0.08741258741258741,0.06817482517482518,0.012074837547342357,0.08741258741258741,0.076,286
logistic-mean__small__h45__sop30,0.6735403537750244,0.06293706293706294,0.04871328671328672,0.010632691788842198,0.06643356643356643,0.134,286
spectral-meanpool__small__h15__sop10,0.8278072476387024,0.06293706293706294,0.04906993006993007,0.011584377807367265,0.06993006993006994,0.136,286
spectral-meanpool__large__h45__sop10,0.8763359785079956,0.027972027972027972,0.01874825174825175,0.007040881578267612,0.03146853146853147,0.146,286
spectral-attention__large__h45__sop30,0.92934912443161,0.09090909090909091,0.0772937062937063,0.013419817283281866,0.0979020979020979,0.188,286
spectral-meanpool__large__h5__sop30,0.7842558026313782,0.15034965034965034,0.13683916083916087,0.013839045996477525,0.16083916083916083,0.2,286
spectral-meanpool__small__h45__sop30,0.8240391612052917,0.04895104895104895,0.03946853146853147,0.009099683769579172,0.055944055944055944,0.2,286
spectral-attention__large__h5__sop10,0.7967157363891602,0.10139860139860139,0.0902937062937063,0.014283986677986324,0.11538461538461539,0.262,286
spectral-gru__large__h5__sop10,0.8992264270782471,0.0944055944055944,0.08437762237762238,0.013765115680668504,0.10839160839160839,0.264,286
spectral-meanpool__small__h15__sop30,0.8407781720161438,0.07692307692307693,0.06906993006993008,0.011309166927301243,0.08741258741258741,0.284,286
spectral-attention__large__h5__sop30,0.8432053923606873,0.21328671328671328,0.20086713286713284,0.018810830058710253,0.23076923076923078,0.298,286
logistic-mean__small__h5__sop30,0.6427960991859436,0.18181818181818182,0.17272727272727273,0.01786846709947201,0.20279720279720279,0.348,286
spectral-attention__small__h15__sop10,0.8520557284355164,0.05244755244755245,0.04653846153846154,0.011561695192995394,0.06643356643356643,0.368,286
spectral-attention__small__h45__sop30,0.8849894404411316,0.07342657342657342,0.06878321678321679,0.011366818274261366,0.08741258741258741,0.388,286
spectral-gru__large__h15__sop30,0.9125377535820008,0.15384615384615385,0.14716083916083914,0.017368951418343624,0.17482517482517482,0.39,286
spectral-attention__small__h45__sop10,0.8677607774734497,0.038461538461538464,0.034489510489510496,0.009670537311696505,0.04912587412587397,0.392,286
spectral-gru__small__h5__sop10,0.7674757242202759,0.0944055944055944,0.08963636363636364,0.01345472718426911,0.11188811188811189,0.41,286
spectral-gru__large__h5__sop30,0.840195894241333,0.20279720279720279,0.1972097902097902,0.017194976617925278,0.22377622377622378,0.422,286
spectral-gru__small__h5__sop30,0.7933903336524963,0.1258741258741259,0.12211888111888113,0.014323090170247408,0.14335664335664336,0.47,286
spectral-gru__large__h45__sop10,0.9061029553413392,0.055944055944055944,0.0541958041958042,0.012054572959205695,0.07342657342657342,0.478,286
spectral-attention__small__h5__sop10,0.783653736114502,0.09090909090909091,0.08953146853146854,0.013210475055083631,0.11188811188811189,0.526,286
spectral-gru__large__h45__sop30,0.9323719143867492,0.08391608391608392,0.08432867132867133,0.013961550282920183,0.1048951048951049,0.562,286
spectral-attention__large__h15__sop10,0.8881595134735107,0.04195804195804196,0.04238461538461539,0.011199249938207643,0.06293706293706294,0.57,286
spectral-meanpool__small__h5__sop10,0.7926545143127441,0.07692307692307693,0.07802797202797203,0.013594225731924774,0.10139860139860139,0.57,286
spectral-gru__small__h15__sop30,0.8221191763877869,0.08041958041958042,0.08122377622377623,0.012054116568450058,0.10139860139860139,0.582,286
