feature,n_pos,n_neg,d,auc
BTE_RIGHT::log_power_theta,2913,14565,1.1630903,0.8236130541157581
CROSS_HEAD::log_power_theta,5691,28455,1.2103794,0.8235442515581869
BTE_RIGHT::log_power_alpha,2913,14565,1.0919173,0.8162468185692674
CROSS_HEAD::log_total_power,5691,28455,1.1161681,0.8055988855693964
CROSS_HEAD::log_power_alpha,5691,28455,1.0810254,0.8040999699853162
BTE_RIGHT::log_total_power,2913,14565,1.1154451,0.8022249774882508
BTE_LEFT::log_power_theta,5378,26890,0.8874262,0.7987650747415092
BTE_RIGHT::log_power_beta,2913,14565,1.0411041,0.7876224800010465
BTE_LEFT::log_power_alpha,5378,26890,0.8840922,0.7844372850231672
BTE_RIGHT::log_line_length,2913,14565,0.7746758,0.7814748781136539
BTE_RIGHT::log_power_delta,2913,14565,1.0201304,0.780458729402825
CROSS_HEAD::log_line_length,5691,28455,0.84052193,0.7782845661877811
CROSS_HEAD::log_power_beta,5691,28455,1.0636852,0.7771661865274425
CROSS_HEAD::log_power_delta,5691,28455,0.9377845,0.7753189635217386
BTE_LEFT::log_total_power,5378,26890,0.85419023,0.7650442397099818
BTE_RIGHT::log_power_gamma,2913,14565,0.99086815,0.7605810170184226
BTE_LEFT::log_line_length,5378,26890,0.5697666,0.7538728848755194
BTE_LEFT::log_power_beta,5378,26890,0.89245796,0.7528414801234897
CROSS_HEAD::log_power_gamma,5691,28455,1.0110767,0.7512006166827238
BTE_LEFT::log_power_delta,5378,26890,0.7720047,0.747274168786211
BTE_LEFT::log_power_gamma,5378,26890,0.88887924,0.738073156881589
BTE_RIGHT::hjorth_complexity,2913,14565,0.15221685,0.5364221892485936
BTE_RIGHT::hjorth_mobility,2913,14565,-0.06864964,0.4654412803667025
CROSS_HEAD::hjorth_mobility,5691,28455,0.1343359,0.5184864207253415
BTE_LEFT::hjorth_complexity,5378,26890,-0.065544955,0.48853629534316145
BTE_LEFT::hjorth_mobility,5378,26890,0.081201024,0.5110671674373828
CROSS_HEAD::hjorth_complexity,5691,28455,-0.060691155,0.4912255139570749
