feature,n_pos,n_neg,d,auc
CROSS_HEAD::log_total_power,5691,28455,1.0790614,0.8000739267126085
CROSS_HEAD::log_power_theta,5691,28455,1.0788087,0.79374232593143
CROSS_HEAD::log_power_alpha,5691,28455,1.0106429,0.7836148387088209
CROSS_HEAD::log_line_length,5691,28455,0.8297377,0.7816911108338436
BTE_RIGHT::log_power_theta,2913,14565,1.0025232,0.780997196534493
BTE_RIGHT::log_total_power,2913,14565,1.0147523,0.7807814773529034
CROSS_HEAD::log_power_beta,5691,28455,1.0363019,0.7777334674468817
CROSS_HEAD::log_power_delta,5691,28455,0.9041818,0.7661415162235062
BTE_RIGHT::log_power_alpha,2913,14565,0.9703449,0.7627551788218326
BTE_RIGHT::log_power_delta,2913,14565,0.9120801,0.7606690252592372
BTE_LEFT::log_power_theta,5378,26890,0.8266878,0.757542767865058
CROSS_HEAD::log_power_gamma,5691,28455,0.99876016,0.7569261530404294
BTE_LEFT::log_total_power,5378,26890,0.81407744,0.7496477149374178
BTE_RIGHT::log_line_length,2913,14565,0.73470396,0.7470486893689746
BTE_LEFT::log_power_alpha,5378,26890,0.8232941,0.7462020730712746
BTE_RIGHT::log_power_beta,2913,14565,0.9331058,0.7448796539159601
BTE_LEFT::log_line_length,5378,26890,0.5601706,0.7420960855770814
BTE_LEFT::log_power_beta,5378,26890,0.8341358,0.7353574283947617
BTE_RIGHT::log_power_gamma,2913,14565,0.88879997,0.7303644929408977
BTE_LEFT::log_power_gamma,5378,26890,0.83987385,0.7303520976677154
BTE_LEFT::log_power_delta,5378,26890,0.7233551,0.7251845735715706
BTE_RIGHT::hjorth_complexity,2913,14565,0.13812304,0.529773253861939
CROSS_HEAD::hjorth_mobility,5691,28455,0.12589394,0.5259283116213946
BTE_RIGHT::hjorth_mobility,2913,14565,-0.057949014,0.47472510093312537
CROSS_HEAD::hjorth_complexity,5691,28455,-0.05780139,0.48577580948638766
BTE_LEFT::hjorth_mobility,5378,26890,0.070764676,0.5133844605537954
BTE_LEFT::hjorth_complexity,5378,26890,-0.05604568,0.4962096138130624
