feature,n_pos,n_neg,d,auc
BTE_RIGHT::hjorth_mobility,37772,14565,-0.18078828,0.4553195489630649
BTE_RIGHT::hjorth_complexity,37772,14565,0.0632682,0.5400152382304741
BTE_RIGHT::log_power_theta,37772,14565,0.07304123,0.536305026393023
BTE_RIGHT::log_power_delta,37772,14565,0.12123887,0.5353207688140151
CROSS_HEAD::hjorth_complexity,64422,28455,-0.054743525,0.5284093305082388
CROSS_HEAD::hjorth_mobility,64422,28455,-0.10883395,0.4738129272816032
CROSS_HEAD::log_power_beta,64422,28455,-0.087535575,0.47468359206403704
CROSS_HEAD::log_line_length,64422,28455,-0.050507464,0.4771133367276408
CROSS_HEAD::log_power_gamma,64422,28455,-0.08168647,0.4771684018946391
BTE_RIGHT::log_total_power,37772,14565,0.07996385,0.5226421668028298
BTE_LEFT::log_power_gamma,48672,26890,-0.05357117,0.4824613489582684
BTE_LEFT::log_power_beta,48672,26890,-0.037378326,0.48415529173326244
BTE_LEFT::log_line_length,48672,26890,0.021700209,0.4846205065215653
BTE_LEFT::log_power_theta,48672,26890,0.02895495,0.5148784268749959
BTE_LEFT::hjorth_complexity,48672,26890,-0.08761542,0.5144676673435666
BTE_RIGHT::log_power_alpha,37772,14565,0.023640271,0.514236109558502
CROSS_HEAD::log_power_theta,64422,28455,0.0039690277,0.5136408179699354
BTE_LEFT::hjorth_mobility,48672,26890,-0.090736665,0.4883885470006008
BTE_LEFT::log_power_alpha,48672,26890,0.016787315,0.5109103951949269
BTE_RIGHT::log_power_gamma,37772,14565,-0.018873343,0.48919183702136937
CROSS_HEAD::log_power_delta,64422,28455,0.008037861,0.5097001234518259
CROSS_HEAD::log_power_alpha,64422,28455,-0.0073200627,0.5081625502520143
BTE_RIGHT::log_line_length,37772,14565,0.022084476,0.4922132884029746
BTE_RIGHT::log_power_beta,37772,14565,-0.018962605,0.4931044239673319
BTE_LEFT::log_total_power,48672,26890,-0.009916226,0.4938007296785134
BTE_LEFT::log_power_delta,48672,26890,0.012752417,0.5036614278891844
CROSS_HEAD::log_total_power,64422,28455,-0.032093592,0.4996174293359905
