tag,thr,n_neg,n_pos
spectral-gru__large__h45__sop10,0.9061029553413392,443206,2814
spectral-gru__large__h45__sop30,0.9323719143867492,437640,8380
logistic-mean__small__h5__sop10,0.6565907001495361,443206,2814
logistic-mean__small__h15__sop10,0.6657724380493164,443206,2814
spectral-meanpool__small__h5__sop10,0.7926545143127441,443206,2814
spectral-meanpool__small__h45__sop30,0.8240391612052917,437640,8380
spectral-attention__small__h15__sop30,0.8199127912521362,437640,8380
spectral-gru__large__h15__sop30,0.9125377535820008,437640,8380
spectral-gru__small__h45__sop30,0.8620786666870117,437640,8380
logistic-mean__small__h5__sop30,0.6427960991859436,437640,8380
spectral-attention__large__h5__sop10,0.7967157363891602,443206,2814
spectral-gru__small__h5__sop10,0.7674757242202759,443206,2814
spectral-meanpool__large__h5__sop10,0.8103659152984619,443206,2814
spectral-attention__small__h5__sop10,0.783653736114502,443206,2814
spectral-meanpool__large__h45__sop30,0.8895898461341858,437640,8380
spectral-attention__small__h45__sop30,0.8849894404411316,437640,8380
logistic-mean__small__h15__sop30,0.6651222109794617,437640,8380
spectral-attention__large__h15__sop10,0.8881595134735107,443206,2814
spectral-meanpool__small__h45__sop10,0.8371879458427429,443206,2814
spectral-gru__large__h5__sop10,0.8992264270782471,443206,2814
spectral-attention__small__h45__sop10,0.8677607774734497,443206,2814
spectral-meanpool__large__h5__sop30,0.7842558026313782,437640,8380
spectral-gru__small__h5__sop30,0.7933903336524963,437640,8380
spectral-gru__small__h15__sop30,0.8221191763877869,437640,8380
spectral-gru__large__h5__sop30,0.840195894241333,437640,8380
spectral-attention__large__h15__sop30,0.912854790687561,437640,8380
spectral-meanpool__small__h15__sop30,0.8407781720161438,437640,8380
spectral-meanpool__small__h15__sop10,0.8278072476387024,443206,2814
spectral-attention__large__h5__sop30,0.8432053923606873,437640,8380
spectral-gru__large__h15__sop10,0.8048222661018372,443206,2814
spectral-attention__small__h15__sop10,0.8520557284355164,443206,2814
spectral-meanpool__large__h15__sop30,0.8637686967849731,437640,8380
logistic-mean__small__h45__sop30,0.6735403537750244,437640,8380
logistic-mean__small__h45__sop10,0.6598241329193115,443206,2814
spectral-attention__small__h5__sop30,0.7433207035064697,437640,8380
spectral-attention__large__h45__sop10,0.9026642441749572,443206,2814
spectral-meanpool__large__h15__sop10,0.8574691414833069,443206,2814
spectral-meanpool__large__h45__sop10,0.8763359785079956,443206,2814
spectral-meanpool__small__h5__sop30,0.7402587532997131,437640,8380
spectral-attention__large__h45__sop30,0.92934912443161,437640,8380
spectral-gru__small__h15__sop10,0.8436574339866638,443206,2814
spectral-gru__small__h45__sop10,0.8284721970558167,443206,2814
