tag,architecture,parameters,history_min,sop_min,chunks,seizures,decisions,prevalence,ap,ap_over_chance,auc,brier,sens_at_1ph,sens_ci_low,sens_ci_high,detected_at_1ph,auc_fold_std,sens_asleep,n_asleep,sens_awake,n_awake,sens_un,n_un
spectral-gru__large__h45__sop10,spectral-gru,37258.0,45.0,10.0,540.0,286,446020,0.006309134119546209,0.0073140830211356695,1.159284758026628,0.559037604099388,0.10935191460949817,0.055944055944055944,0.03146853146853147,0.08391608391608392,16,0.04902623857506482,0.038834951456310676,103.0,0.06976744186046512,172.0,0.0,11.0
spectral-gru__large__h45__sop30,spectral-gru,37258.0,45.0,30.0,540.0,286,446020,0.018788395139231424,0.021222241704572258,1.1295398860469354,0.5470212376908125,0.07524680086635614,0.08391608391608392,0.055944055944055944,0.1154720279720275,24,0.037200497528862994,0.07766990291262135,103.0,0.08139534883720931,172.0,0.18181818181818182,11.0
logistic-mean__small__h5__sop10,logistic-mean,91.0,5.0,10.0,60.0,286,446020,0.006309134119546209,0.007126035782687415,1.1294792039069796,0.5295676114980534,0.24304223386353913,0.0979020979020979,0.06293706293706294,0.13286713286713286,28,0.03926217642155624,0.0970873786407767,103.0,0.0872093023255814,172.0,0.2727272727272727,11.0
logistic-mean__small__h15__sop10,logistic-mean,91.0,15.0,10.0,180.0,286,446020,0.006309134119546209,0.007120881579412226,1.1286622608562333,0.5321538048661723,0.24018968877140945,0.03496503496503497,0.013986013986013986,0.05944055944055944,10,0.056405527846067505,0.06796116504854369,103.0,0.01744186046511628,172.0,0.0,11.0
spectral-meanpool__small__h5__sop10,spectral-meanpool,1546.0,5.0,10.0,60.0,286,446020,0.006309134119546209,0.00711377058551123,1.1275351657959198,0.5389084510480993,0.21219003251431903,0.07692307692307693,0.045454545454545456,0.10839160839160839,22,0.021262624882173436,0.0970873786407767,103.0,0.06976744186046512,172.0,0.0,11.0
spectral-meanpool__small__h45__sop30,spectral-meanpool,1546.0,45.0,30.0,540.0,286,446020,0.018788395139231424,0.02090757327746591,1.112791865538824,0.5211314393713821,0.18818744449834882,0.04895104895104895,0.027972027972027972,0.07351398601398554,14,0.025447471282432167,0.05825242718446602,103.0,0.040697674418604654,172.0,0.09090909090909091,11.0
spectral-attention__small__h15__sop30,spectral-attention,2827.0,15.0,30.0,180.0,286,446020,0.018788395139231424,0.02068152771604405,1.1007607388914042,0.5230019615680024,0.18262676925462668,0.13986013986013987,0.10139860139860139,0.17832167832167833,40,0.03564801684671451,0.18446601941747573,103.0,0.11627906976744186,172.0,0.09090909090909091,11.0
spectral-gru__large__h15__sop30,spectral-gru,37258.0,15.0,30.0,180.0,286,446020,0.018788395139231424,0.02063505193272472,1.0982870958274318,0.5200440103285598,0.13027844402858468,0.15384615384615385,0.11188811188811189,0.1958041958041958,44,0.031305063878351934,0.22330097087378642,103.0,0.11046511627906977,172.0,0.18181818181818182,11.0
spectral-gru__small__h45__sop30,spectral-gru,3178.0,45.0,30.0,540.0,286,446020,0.018788395139231424,0.020536007104015992,1.0930154998249657,0.5331317496982623,0.1758326592197516,0.11538461538461539,0.08041958041958042,0.15034965034965034,33,0.03335088548133555,0.06796116504854369,103.0,0.1511627906976744,172.0,0.0,11.0
logistic-mean__small__h5__sop30,logistic-mean,91.0,5.0,30.0,60.0,286,446020,0.018788395139231424,0.020515792414119827,1.0919395862226402,0.521773198004528,0.24981107844491265,0.18181818181818182,0.13986013986013987,0.23076923076923078,52,0.04239131638841607,0.18446601941747573,103.0,0.18023255813953487,172.0,0.18181818181818182,11.0
